callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
light_spot_point_active_test,homogClip,9464,0,2045,0,11509
light_spot_point_active_test,legacyRectFinite,11509,0,0,0,11509
light_spot_point_active_test,rectGuard,11509,0,0,0,11509
light_spot_point_active_test,rectNearFar,9464,0,2045,0,11509
light_spot_point_active_test,rectSignedW,9464,0,2045,0,11509
light_terrain_active_test,homogClip,85670,214,10243,0,96127
light_terrain_active_test,legacyRectFinite,96127,0,0,0,96127
light_terrain_active_test,rectGuard,96127,0,0,0,96127
light_terrain_active_test,rectNearFar,85883,0,10244,0,96127
light_terrain_active_test,rectSignedW,85890,0,10237,0,96127
picking_closest_cell_center,homogClip,546,0,4269,0,4815
picking_closest_cell_center,legacyRectFinite,4815,0,0,0,4815
picking_closest_cell_center,rectGuard,4815,0,0,0,4815
picking_closest_cell_center,rectNearFar,546,0,4269,0,4815
picking_closest_cell_center,rectSignedW,546,0,4269,0,4815
terrain_cpu_vert_admit,homogClip,2592943,0,1619888,0,4212831
terrain_cpu_vert_admit,legacyRectFinite,4212831,0,0,0,4212831
terrain_cpu_vert_admit,rectGuard,4212831,0,0,0,4212831
terrain_cpu_vert_admit,rectNearFar,2592943,0,1619888,0,4212831
terrain_cpu_vert_admit,rectSignedW,2593081,0,1619750,0,4212831
terrain_quad_vert0_admit,homogClip,6445,0,1388,0,7833
terrain_quad_vert0_admit,legacyRectFinite,7833,0,0,0,7833
terrain_quad_vert0_admit,rectGuard,7833,0,0,0,7833
terrain_quad_vert0_admit,rectNearFar,6445,0,1388,0,7833
terrain_quad_vert0_admit,rectSignedW,6461,0,1372,0,7833
terrain_quad_vert1_admit,homogClip,19245,0,5827,0,25072
terrain_quad_vert1_admit,legacyRectFinite,25072,0,0,0,25072
terrain_quad_vert1_admit,rectGuard,25072,0,0,0,25072
terrain_quad_vert1_admit,rectNearFar,19245,0,5827,0,25072
terrain_quad_vert1_admit,rectSignedW,19262,0,5810,0,25072
terrain_quad_vert2_admit,homogClip,180765,0,93244,0,274009
terrain_quad_vert2_admit,legacyRectFinite,274009,0,0,0,274009
terrain_quad_vert2_admit,rectGuard,274009,0,0,0,274009
terrain_quad_vert2_admit,rectNearFar,180765,0,93244,0,274009
terrain_quad_vert2_admit,rectSignedW,181164,0,92845,0,274009
terrain_quad_vert3_admit,homogClip,19223,0,6745,0,25968
terrain_quad_vert3_admit,legacyRectFinite,25968,0,0,0,25968
terrain_quad_vert3_admit,rectGuard,25968,0,0,0,25968
terrain_quad_vert3_admit,rectNearFar,19223,0,6745,0,25968
terrain_quad_vert3_admit,rectSignedW,19269,0,6699,0,25968
unknown,homogClip,977119,642,1702906,0,2680667
unknown,legacyRectFinite,2680667,0,0,0,2680667
unknown,rectGuard,2680667,0,0,0,2680667
unknown,rectNearFar,977758,0,1702909,0,2680667
unknown,rectSignedW,977767,0,1702900,0,2680667
weather_raindrop_bot,homogClip,323,0,332419,0,332742
weather_raindrop_bot,legacyRectFinite,332742,0,0,0,332742
weather_raindrop_bot,rectGuard,332742,0,0,0,332742
weather_raindrop_bot,rectNearFar,323,0,332419,0,332742
weather_raindrop_bot,rectSignedW,323,0,332419,0,332742
weather_raindrop_top,homogClip,144258,0,332742,0,477000
weather_raindrop_top,legacyRectFinite,477000,0,0,0,477000
weather_raindrop_top,rectGuard,477000,0,0,0,477000
weather_raindrop_top,rectNearFar,144258,0,332742,0,477000
weather_raindrop_top,rectSignedW,144258,0,332742,0,477000
