callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
__GLOBAL__,homogClip,113269865,28552503,16506590,0,158328958
__GLOBAL__,legacyRectFinite,158328958,0,0,0,158328958
__GLOBAL__,rectGuard,158328958,0,0,0,158328958
__GLOBAL__,rectNearFar,136044436,0,22284522,0,158328958
__GLOBAL__,rectSignedW,141825021,0,16503937,0,158328958
<unknown>,homogClip,0,0,16222274,0,0
<unknown>,rectSignedW,0,0,9585381,0,0
light_terrain_active_test,homogClip,0,0,144152,0,0
light_terrain_active_test,rectSignedW,0,0,1005,0,0
picking_closest_cell_center,homogClip,0,0,1432,0,0
picking_closest_cell_center,rectSignedW,0,0,1432,0,0
picking_closest_vertex_fallback,homogClip,0,0,282063,0,0
picking_closest_vertex_fallback,rectSignedW,0,0,282063,0,0
terrain_cpu_vert_admit,homogClip,0,0,24359816,0,0
terrain_cpu_vert_admit,rectSignedW,0,0,5220496,0,0
terrain_quad_vert0_admit,homogClip,0,0,85885,0,0
terrain_quad_vert0_admit,rectSignedW,0,0,37385,0,0
terrain_quad_vert1_admit,homogClip,0,0,153166,0,0
terrain_quad_vert1_admit,rectSignedW,0,0,51820,0,0
terrain_quad_vert2_admit,homogClip,0,0,3604011,0,0
terrain_quad_vert2_admit,rectSignedW,0,0,1238549,0,0
terrain_quad_vert3_admit,homogClip,0,0,206294,0,0
terrain_quad_vert3_admit,rectSignedW,0,0,85806,0,0
