callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
__GLOBAL__,homogClip,20766827,0,21542044,0,42308871
__GLOBAL__,legacyRectFinite,42308871,0,0,0,42308871
__GLOBAL__,rectGuard,42308871,0,0,0,42308871
__GLOBAL__,rectNearFar,20766827,0,21542044,0,42308871
__GLOBAL__,rectSignedW,20767683,0,21541188,0,42308871
<unknown>,homogClip,0,0,19125351,0,0
<unknown>,rectSignedW,0,0,19124638,0,0
picking_closest_cell_center,homogClip,0,0,29563,0,0
picking_closest_cell_center,rectSignedW,0,0,29563,0,0
picking_closest_vertex_fallback,homogClip,0,0,6178,0,0
picking_closest_vertex_fallback,rectSignedW,0,0,6178,0,0
terrain_cpu_vert_admit,homogClip,0,0,1666817,0,0
terrain_cpu_vert_admit,rectSignedW,0,0,1666731,0,0
terrain_quad_vert0_admit,homogClip,0,0,1,0,0
terrain_quad_vert0_admit,rectSignedW,0,0,0,0,0
terrain_quad_vert1_admit,homogClip,0,0,382,0,0
terrain_quad_vert1_admit,rectSignedW,0,0,371,0,0
terrain_quad_vert2_admit,homogClip,0,0,713733,0,0
terrain_quad_vert2_admit,rectSignedW,0,0,713693,0,0
terrain_quad_vert3_admit,homogClip,0,0,19,0,0
terrain_quad_vert3_admit,rectSignedW,0,0,14,0,0
