callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
__GLOBAL__,homogClip,62608315,0,3283325,0,65891640
__GLOBAL__,legacyRectFinite,65891640,0,0,0,65891640
__GLOBAL__,rectGuard,65891640,0,0,0,65891640
__GLOBAL__,rectNearFar,62608315,0,3283325,0,65891640
__GLOBAL__,rectSignedW,62608385,0,3283255,0,65891640
<unknown>,homogClip,0,0,1346989,0,0
<unknown>,rectSignedW,0,0,1346989,0,0
picking_closest_cell_center,homogClip,0,0,2989,0,0
picking_closest_cell_center,rectSignedW,0,0,2989,0,0
picking_closest_vertex_fallback,homogClip,0,0,145378,0,0
picking_closest_vertex_fallback,rectSignedW,0,0,145378,0,0
terrain_cpu_vert_admit,homogClip,0,0,1672386,0,0
terrain_cpu_vert_admit,rectSignedW,0,0,1672316,0,0
terrain_quad_vert1_admit,homogClip,0,0,2856,0,0
terrain_quad_vert1_admit,rectSignedW,0,0,2856,0,0
terrain_quad_vert2_admit,homogClip,0,0,112727,0,0
terrain_quad_vert2_admit,rectSignedW,0,0,112727,0,0
