callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
light_spot_point_active_test,homogClip,39250,123,3106,0,42479
light_spot_point_active_test,legacyRectFinite,42479,0,0,0,42479
light_spot_point_active_test,rectGuard,42479,0,0,0,42479
light_spot_point_active_test,rectNearFar,39373,0,3106,0,42479
light_spot_point_active_test,rectSignedW,39373,0,3106,0,42479
light_terrain_active_test,homogClip,487122,1726,15774,0,504622
light_terrain_active_test,legacyRectFinite,504622,0,0,0,504622
light_terrain_active_test,rectGuard,504622,0,0,0,504622
light_terrain_active_test,rectNearFar,488848,0,15774,0,504622
light_terrain_active_test,rectSignedW,488848,0,15774,0,504622
picking_closest_cell_center,homogClip,4087,0,17405,0,21492
picking_closest_cell_center,legacyRectFinite,21492,0,0,0,21492
picking_closest_cell_center,rectGuard,21492,0,0,0,21492
picking_closest_cell_center,rectNearFar,4087,0,17405,0,21492
picking_closest_cell_center,rectSignedW,4087,0,17405,0,21492
picking_closest_vertex_fallback,homogClip,50590,6165,845,0,57600
picking_closest_vertex_fallback,legacyRectFinite,57600,0,0,0,57600
picking_closest_vertex_fallback,rectGuard,57600,0,0,0,57600
picking_closest_vertex_fallback,rectNearFar,56755,0,845,0,57600
picking_closest_vertex_fallback,rectSignedW,56755,0,845,0,57600
terrain_cpu_vert_admit,homogClip,3674464,41,1903043,0,5577548
terrain_cpu_vert_admit,legacyRectFinite,5577548,0,0,0,5577548
terrain_cpu_vert_admit,rectGuard,5577548,0,0,0,5577548
terrain_cpu_vert_admit,rectNearFar,3674505,0,1903043,0,5577548
terrain_cpu_vert_admit,rectSignedW,3674657,0,1902891,0,5577548
terrain_quad_vert0_admit,homogClip,10695,0,7634,0,18329
terrain_quad_vert0_admit,legacyRectFinite,18329,0,0,0,18329
terrain_quad_vert0_admit,rectGuard,18329,0,0,0,18329
terrain_quad_vert0_admit,rectNearFar,10695,0,7634,0,18329
terrain_quad_vert0_admit,rectSignedW,10695,0,7634,0,18329
terrain_quad_vert1_admit,homogClip,13591,0,8065,0,21656
terrain_quad_vert1_admit,legacyRectFinite,21656,0,0,0,21656
terrain_quad_vert1_admit,rectGuard,21656,0,0,0,21656
terrain_quad_vert1_admit,rectNearFar,13591,0,8065,0,21656
terrain_quad_vert1_admit,rectSignedW,13591,0,8065,0,21656
terrain_quad_vert2_admit,homogClip,152075,0,127464,0,279539
terrain_quad_vert2_admit,legacyRectFinite,279539,0,0,0,279539
terrain_quad_vert2_admit,rectGuard,279539,0,0,0,279539
terrain_quad_vert2_admit,rectNearFar,152075,0,127464,0,279539
terrain_quad_vert2_admit,rectSignedW,152075,0,127464,0,279539
terrain_quad_vert3_admit,homogClip,19690,0,14491,0,34181
terrain_quad_vert3_admit,legacyRectFinite,34181,0,0,0,34181
terrain_quad_vert3_admit,rectGuard,34181,0,0,0,34181
terrain_quad_vert3_admit,rectNearFar,19690,0,14491,0,34181
terrain_quad_vert3_admit,rectSignedW,19690,0,14491,0,34181
unknown,homogClip,207484,364,974621,0,1182469
unknown,legacyRectFinite,1182469,0,0,0,1182469
unknown,rectGuard,1182469,0,0,0,1182469
unknown,rectNearFar,207848,0,974621,0,1182469
unknown,rectSignedW,207848,0,974621,0,1182469
