callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
__GLOBAL__,homogClip,67845166,15596003,15416854,0,98858023
__GLOBAL__,legacyRectFinite,98858023,0,0,0,98858023
__GLOBAL__,rectGuard,98858023,0,0,0,98858023
__GLOBAL__,rectNearFar,83362943,0,15495080,0,98858023
__GLOBAL__,rectSignedW,83441257,0,15416766,0,98858023
<unknown>,homogClip,0,0,8973618,0,0
<unknown>,rectSignedW,0,0,5551606,0,0
light_terrain_active_test,homogClip,0,0,71014,0,0
light_terrain_active_test,rectSignedW,0,0,52336,0,0
picking_closest_cell_center,homogClip,0,0,49299,0,0
picking_closest_cell_center,rectSignedW,0,0,49299,0,0
picking_closest_vertex_fallback,homogClip,0,0,69798,0,0
picking_closest_vertex_fallback,rectSignedW,0,0,69798,0,0
terrain_cpu_vert_admit,homogClip,0,0,9882875,0,0
terrain_cpu_vert_admit,rectSignedW,0,0,2081913,0,0
terrain_quad_vert1_admit,homogClip,0,0,163113,0,0
terrain_quad_vert1_admit,rectSignedW,0,0,5367,0,0
terrain_quad_vert2_admit,homogClip,0,0,4429918,0,0
terrain_quad_vert2_admit,rectSignedW,0,0,522727,0,0
terrain_quad_vert3_admit,homogClip,0,0,226542,0,0
terrain_quad_vert3_admit,rectSignedW,0,0,4064,0,0
weather_raindrop_bot,homogClip,0,0,3528996,0,0
weather_raindrop_bot,rectSignedW,0,0,3528996,0,0
weather_raindrop_top,homogClip,0,0,3541588,0,0
weather_raindrop_top,rectSignedW,0,0,3541588,0,0
