callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
picking_closest_cell_center,homogClip,118,0,3086,0,3204
picking_closest_cell_center,legacyRectFinite,3204,0,0,0,3204
picking_closest_cell_center,rectGuard,3204,0,0,0,3204
picking_closest_cell_center,rectNearFar,118,0,3086,0,3204
picking_closest_cell_center,rectSignedW,118,0,3086,0,3204
picking_closest_vertex_fallback,homogClip,1396593,344,223063,0,1620000
picking_closest_vertex_fallback,legacyRectFinite,1620000,0,0,0,1620000
picking_closest_vertex_fallback,rectGuard,1620000,0,0,0,1620000
picking_closest_vertex_fallback,rectNearFar,1396937,0,223063,0,1620000
picking_closest_vertex_fallback,rectSignedW,1396937,0,223063,0,1620000
terrain_cpu_vert_admit,homogClip,2027710,0,1139919,0,3167629
terrain_cpu_vert_admit,legacyRectFinite,3167629,0,0,0,3167629
terrain_cpu_vert_admit,rectGuard,3167629,0,0,0,3167629
terrain_cpu_vert_admit,rectNearFar,2027710,0,1139919,0,3167629
terrain_cpu_vert_admit,rectSignedW,2027879,0,1139750,0,3167629
terrain_quad_vert0_admit,homogClip,8219,0,1123,0,9342
terrain_quad_vert0_admit,legacyRectFinite,9342,0,0,0,9342
terrain_quad_vert0_admit,rectGuard,9342,0,0,0,9342
terrain_quad_vert0_admit,rectNearFar,8219,0,1123,0,9342
terrain_quad_vert0_admit,rectSignedW,8220,0,1122,0,9342
terrain_quad_vert1_admit,homogClip,41777,0,9222,0,50999
terrain_quad_vert1_admit,legacyRectFinite,50999,0,0,0,50999
terrain_quad_vert1_admit,rectGuard,50999,0,0,0,50999
terrain_quad_vert1_admit,rectNearFar,41777,0,9222,0,50999
terrain_quad_vert1_admit,rectSignedW,41796,0,9203,0,50999
terrain_quad_vert2_admit,homogClip,1290110,0,723580,0,2013690
terrain_quad_vert2_admit,legacyRectFinite,2013690,0,0,0,2013690
terrain_quad_vert2_admit,rectGuard,2013690,0,0,0,2013690
terrain_quad_vert2_admit,rectNearFar,1290110,0,723580,0,2013690
terrain_quad_vert2_admit,rectSignedW,1290191,0,723499,0,2013690
terrain_quad_vert3_admit,homogClip,44562,0,12407,0,56969
terrain_quad_vert3_admit,legacyRectFinite,56969,0,0,0,56969
terrain_quad_vert3_admit,rectGuard,56969,0,0,0,56969
terrain_quad_vert3_admit,rectNearFar,44562,0,12407,0,56969
terrain_quad_vert3_admit,rectSignedW,44572,0,12397,0,56969
unknown,homogClip,1412018,0,4703690,0,6115708
unknown,legacyRectFinite,6115708,0,0,0,6115708
unknown,rectGuard,6115708,0,0,0,6115708
unknown,rectNearFar,1412018,0,4703690,0,6115708
unknown,rectSignedW,1413446,0,4702262,0,6115708
